timestamp,tokenId,side,price,sizeShares,notionalUsd,realizedPnlUsd,reason,question
2025-01-03T12:00:04.000Z,35255375360012657117305792246090443224690221462734865996427532233323562581158,BUY,0.00502500,224.00000000,1.13,0.00,entry_candidate,Will the Bengals win Super Bowl 2025?
2025-01-07T12:00:03.000Z,7689215271552383133483004508832984274573710042218778913722716721310897959707,BUY,0.02914500,38.62068965,1.13,0.00,entry_candidate,Will the Packers win Super Bowl 2025?
2025-01-13T00:00:04.000Z,95922065128340167030552616846757925126575450533179378041549778657025961857141,BUY,0.00502500,224.00000000,1.13,0.00,entry_candidate,Will the Broncos win Super Bowl 2025?
2025-01-19T00:00:04.000Z,40946145547892120835388934032378411687415301148304670567000395360529369472824,BUY,0.00502500,224.00000000,1.13,0.00,entry_candidate,Will the Texans win Super Bowl 2025?
2025-01-20T00:00:04.000Z,98530852976572810642537081503290735812837188297744380157757156848456581539250,BUY,0.01055250,80.00000000,0.84,0.00,entry_candidate,Will the Rams win Super Bowl 2025?
2025-01-27T00:00:04.000Z,16571355100327104454501190118689337347118543324830329817599252230759175472329,BUY,0.00703500,160.00000000,1.13,0.00,entry_candidate,Will the Commanders win Super Bowl 2025?
2025-01-06T00:00:03.000Z,35255375360012657117305792246090443224690221462734865996427532233323562581158,SELL,0.00010000,224.00000000,0.02,-1.10,backtest_end_close,Will the Bengals win Super Bowl 2025?
2025-01-13T00:00:04.000Z,7689215271552383133483004508832984274573710042218778913722716721310897959707,SELL,0.00010000,38.62068965,0.00,-1.12,backtest_end_close,Will the Packers win Super Bowl 2025?
2025-01-13T00:00:04.000Z,95922065128340167030552616846757925126575450533179378041549778657025961857141,SELL,0.00010000,224.00000000,0.02,-1.10,backtest_end_close,Will the Broncos win Super Bowl 2025?
2025-01-19T00:00:04.000Z,40946145547892120835388934032378411687415301148304670567000395360529369472824,SELL,0.00010000,224.00000000,0.02,-1.10,backtest_end_close,Will the Texans win Super Bowl 2025?
2025-01-20T00:00:04.000Z,98530852976572810642537081503290735812837188297744380157757156848456581539250,SELL,0.00010000,80.00000000,0.01,-0.84,backtest_end_close,Will the Rams win Super Bowl 2025?
2025-01-27T00:00:04.000Z,16571355100327104454501190118689337347118543324830329817599252230759175472329,SELL,0.00010000,160.00000000,0.02,-1.11,backtest_end_close,Will the Commanders win Super Bowl 2025?
